animeTitle	b'Taka no Tsume GO: Utsukushiki Elleair Shoushuu Plus'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Yoshida-kun and members of the Eagle Talon secret society step up to defend the humankind from evil invaders.'
animeRelated	[b'Himitsukessha Taka no Tsume MAX', b'Go! Go! Kadendanshi', b'Elleair x Kamiusagi Rope', b'HuGoo.n no Hug Hug Song', b'Himitsukessha Taka no Tsume Six: Shimane wa Yatsura Da']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
