animeTitle	Punky Funky Baby
animeType	OVA
animeNumEpisode	1
releaseDate	1985-05-01 00:00:00
endDate	
animeNumMembers	645
animeScore	4.7
animeUsers	204
animeRank	
animePopularity	12312
animeDescription	Part of Little Mermaid Series along with Telepathist IQ Saiko, Shining May and Suashi no Houkago.
animeRelated	['Telepathist IQ Saiko', 'Suashi no Houkago', 'Shining May']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
