animeTitle	Kikaider 01 The Animation
animeType	OVA
animeNumEpisode	4
releaseDate	2001-11-21 00:00:00
endDate	2002-03-20 00:00:00
animeNumMembers	
animeScore	6.74
animeUsers	1155
animeRank	
animePopularity	8760
animeDescription	"Ever since the fall of the DARK organization, Jiro has been wandering everywhere and wondering if he would ever see Mitsuko again or not. During his journey Jiro meets a beautiful girl named Rieko who is protecting Akira, a little boy from the evil Professor Gill. Ironicly, he's the son of Professor Gill, but he is also the key to Gill’s menacing secret weapon and his plans to conquer the world.

(Source: ANN)"
animeRelated	['Jinzou Ningen Kikaida', 'Jinzou Ningen Kikaider The Animation', 'Guitar wo Motta Shounen: Kikaider vs. Inazuman']
animeCharacters	['Jiro', 'Rei', 'Rieko', 'Akira', 'Ichiro', 'Red Hakaider', 'Herbert, Gill', 'Komyoji, Nobuhiko ', 'Blue Hakaider', 'Silver Hakaider']
animeVoices	['Seki, Tomokazu', 'Inoue, Kazuhiko', 'Ohara, Sayaka', 'Akita, Madoka', 'Morikubo, Shoutarou', 'Ugaki, Hidenari', 'Ogawa, Shinji', 'Suzuki, Takuma', 'Toochika, Kouichi']
animeStaff	[['Iwakami, Atsuhiro', 'Producer'], ['Maseba, Yutaka', 'Producer'], ['Motonaga, Keitarou', 'Director, Storyboard, Animation Director'], ['Nemoto, Toshizou', 'Script']]
