animeTitle	Tsukiyo & Opal
animeType	Movie
animeNumEpisode	1
releaseDate	2015-03-07 00:00:00
endDate	
animeNumMembers	284
animeScore	5.27
animeUsers	146
animeRank	10962
animePopularity	14776
animeDescription	Half asleep with my eyes closed, my conscience flies beyond time and space and I transform myself to all the life forms existing. I become the universe and the universe becomes me, until I fall asleep.... It is a song to pray for the existence of heart and soul at an awakening.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
