animeTitle	Sentakuya Shin-chan
animeType	OVA
animeNumEpisode	2
releaseDate	2007-02-25 00:00:00
endDate	2007-05-25 00:00:00
animeNumMembers	
animeScore	6.94
animeUsers	4042
animeRank	
animePopularity	5319
animeDescription	"Based on the game by Black Package.

Shinji Oura is a part-time launderer since one month. He's working for Asai Cleaning under Sayaka, a rather young widow.

While trying to gain the heart of his employer, Shin-chan doesn't miss an occasion to mess around with the housewives of his neighbourhood, especially with Marissa the hot chick from Bangkok!
"
animeRelated	['Sentakuya Shin-chan']
animeCharacters	['Enomoto, Mari', 'Ouhashi, Shinji', 'Asai, Sayaka', 'Igarashi, Yuko', 'Masayo, Ukai']
animeVoices	['Motoi, Emi', 'Mizushima, Takahiro', 'Kurokawa, Nami', 'Hitomi']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Raika, Ken', 'Director, Episode Director'], ['Nakagawa, Tatsuto', 'Sound Director'], ['Nishi, Shigenari', 'Editing']]
