animeTitle	Honoo no Toukyuuji: Dodge Danpei
animeType	TV
animeNumEpisode	47
releaseDate	
endDate	
animeNumMembers	
animeScore	7.26
animeUsers	2306
animeRank	
animePopularity	7384
animeDescription	"Danpei Ichihgeki is the son of Daijurou Ichigeki, a great dodgeball player. As his father, Danpei gives all he has for this game and so it shows in every match.

(Source: AnimeNfo)"
animeRelated	['Honoo no Toukyuuji: Dodge Danpei']
animeCharacters	['Danpei, Ichigeki', 'Kobotoke, Chinnen', 'Rikuo, Touma', 'Mido, Arashi', 'Toudou, Misato', 'Kuroiwa, Tatsuya']
animeVoices	['Hidaka, Noriko', 'Nakahara, Shigeru', 'Sakamoto, Chika']
animeStaff	[['Sasagawa, Hiroshi', 'Director'], ['Kagawa, Yutaka', 'Director, Episode Director, Storyboard'], ['Iwasaki, Yoshiaki', 'Episode Director, Storyboard'], ['Tsuda, Yoshizou', 'Episode Director, Storyboard']]
