animeTitle	Tobidase! Bacchiri
animeType	TV
animeNumEpisode	132
releaseDate	1966-11-14 00:00:00
endDate	1967-04-15 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15008
animeDescription	"The adventures of jug-eared schoolboy detective Bacchiri, who can solve cases that baffle the police, thanks to his brilliantly ingenious mind. The 10 minutes episodes aired daily, Monday through Saturday.

(Source: The Anime Encyclopedia & AniDB)
"
animeRelated	[]
animeCharacters	['Bacchiri', 'President Gappori']
animeVoices	['Shirakawa, Sumiko', 'Yanami, Jouji']
animeStaff	[['Okamoto, Mitsuteru', 'Original Creator']]
