animeTitle	b'Hoshi no Ko Chobin'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.0
animeUsers	182
animeRank	
animePopularity	
animeDescription	b'Chobin is a cute little alien prince from another planet, who crash landed on earth. Looking for his mother, he has a magical bracelet that will help him on his quest.'
animeRelated	[]
animeCharacters	[b'Usa-tan']
animeVoices	[b'\nYamada, Yasuo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRintaro\n\nDirector\n\n', b'\nNamie, Shima\n\nScript\n\n', b'\nKaneko, Yutaka\n\nScript\n\n', b'\nIshinomori, Shoutarou\n\nOriginal Creator\n\n']
