animeTitle	Eguchi Hisashi no Kotobuki Gorou Show
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	4.87
animeUsers	430
animeRank	
animePopularity	10433
animeDescription	"Based on the gag manga by Hisashi Eguchi.

Originally released as a feature part of Studio Pierrot's video magazine show Anime V Comic Rentaman (アニメ・V・コミック レンタマン) along with Abashiri Ikka, Yumemakura Baku Twilight Gekijou and Akai Hayate. 

(Source: AniDB) "
animeRelated	['Kotobuki Gorou Show', 'Abashiri Ikka', 'Akai Hayate', 'Yumemakura Baku Twilight Gekijou']
animeCharacters	['Vulgar Father', 'Kirishima', 'Kirishima no Tsuma', 'Butler', 'Kaichou no Musume', 'Kaichou', 'Kirishima no Musuko', 'Ichinose', 'College Student', 'Sailor']
animeVoices	['Yara, Yuusaku', 'Genda, Tesshou', 'Satou, Ai', 'Akimoto, Yousuke', 'Kishiro, Sakurako', 'Nishimura, Tomomichi', 'Ueda, Toshiya', 'Inoue, Kikuko', 'Futamata, Issei']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Kozuma, Shinsaku', 'Storyboard'], ['Yara, Yuusaku', 'Theme Song Performance'], ['Eguchi, Hisashi', 'Original Creator']]
