animeTitle	b'Kimi no Koe wo Todoketai'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.05
animeUsers	5280
animeRank	
animePopularity	
animeDescription	"b'The story focuses on high school girl Nagisa Yukiai who lives in a seaside town. She has believed her grandmother\'s story that spirits dwell in words and they are called ""kotodama"" (word spirit). One day, she strays into a mini FM station that has not been used for years. As an impulse of the moment, she tries to talk like a DJ using the facility. But her voice accidentally broadcasted reaches someone she has never expected.\n\n(Source: Crunchyroll)'"
animeRelated	[]
animeCharacters	[b'Yukiai, Nagisa', b'Biwakouji, Otoha', b'Yazawa, Shion', b'Hamasuka, Yuu', b'Tatsunokuchi, Kaede', b'Dobashi, Shizuku', b'Nakahara, Ayame', b'Nagisa no Sobo', b'Kawabukuro, Shouki', b'Koyurugi, Taigo']
animeVoices	[b'\nKatahira, Mina\nJapanese\n', b'\nSuzuki, Hitomi\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nIino, Misako\nJapanese\n', b'\nTanaka, Yuki\nJapanese\n', b'\nIwabuchi, Momone\nJapanese\n', b'\nKambe, Mitsuho\nJapanese\n', b'\nNozawa, Masako\nJapanese\n', b'\nSuzuki, Tatsuhisa\nJapanese\n', b'\nKaji, Yuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItou, Naoyuki\n\nDirector\n\n', b'\nShimizu, Youji\n\nSound Director\n\n', b'\nIshikawa, Manabu\n\nScript\n\n', b'\nNOW ON AIR\n\nTheme Song Performance, Inserted Song Performance\n\n']
