animeTitle	Uchuu Senkan Yamato: Fukkatsu-hen
animeType	Movie
animeNumEpisode	1
releaseDate	2009-12-12 00:00:00
endDate	
animeNumMembers	3732
animeScore	7.01
animeUsers	1230
animeRank	3761
animePopularity	7822
animeDescription	"A crisis is approaching Earth with the expansion of a moving black hole, in the year 2220. A plan is devised to move over 300-million people from Earth. When the latest transportation fleet is attacked, Space Battleship Yamato comes to its defense, the ship is now commanded by Susumu Kodai, also aboard is daughter Miyuki, child of Susumu and Yuki. 

(Source: FUNimation) "
animeRelated	['Uchuu Senkan Yamato: Kanketsu-hen']
animeCharacters	['Kodai, Susumu', 'Sanada, Shirou', 'Mori, Yuki', 'Analyzer', 'Sado, Sakezou', 'Shima, Jiro', 'Oota, Kenjirou', 'Tokugawa, Tasuke', 'Kodai, Miyuki']
animeVoices	['Yamadera, Kouichi', 'Aono, Takeshi', 'Ogata, Kenichi', 'Nagai, Ichiro', 'Okiayu, Ryoutarou', 'Furuya, Toru', 'Fujimura, Ayumi']
animeStaff	[['Nishizaki, Yoshinobu', 'Director, Original Creator'], ['Shirato, Takeshi', 'Director, Storyboard'], ['Yoshida, Tomohiro', 'Sound Director'], ['Habara, Nobuyoshi', 'Storyboard, Animation Director']]
