animeTitle	Coyote Ragtime Show
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	7523
animeRank	
animePopularity	4097
animeDescription	"Mister is a ""coyote"" or space faring outlaw who has been sitting in prison for a year for a traffic offense. Ten days from release, he breaks out with the help of his old partners Bishop and Katana. He then seeks out Franka who has been left in his care by her dead father and takes her on a journey to find her father's treasure. On their heels are the federal investigators Angelica and Chelsea as well as the android assassins of the Criminal Guild, Madame Marciano's Twelve Sisters.

(Source: ANN)"
animeRelated	['Coyote Ragtime Show']
animeCharacters	['Mister', 'Dochley, Franca', 'Katana', 'Gordon, Swamp', 'Bishop', 'Burns, Angelica', 'April', 'May', 'November', 'July']
animeVoices	['Ootsuka, Akio', 'Hirohashi, Ryou', 'Seki, Tomokazu', 'Houki, Katsuhisa', 'Horiuchi, Kenyuu', 'Yuuya, Atsuko', 'Nabatame, Hitomi', 'Tamaki, Yuuki', 'Kigawa, Eriko', 'Kawase, Akiko']
animeStaff	[['Nonaka, Takuya', 'Director, Episode Director, Storyboard'], ['Matsuoka, Hiroki', 'Sound Director'], ['Aoki, Ei', 'Episode Director, Storyboard'], ['Oikawa, Kei', 'Episode Director']]
