animeTitle	Futari no Aniyome
animeType	OVA
animeNumEpisode	2
releaseDate	2006-06-25 00:00:00
endDate	2007-02-25 00:00:00
animeNumMembers	
animeScore	6.27
animeUsers	1106
animeRank	
animePopularity	8126
animeDescription	Shinya's school days are boring until Akane, a woman that his brother was to marry due to a family arrangement, started attending the same school that he was attending. Shinya remembers meeting Akane when they were younger and that they made a promise to be together when they were older. In order to make Akane, his and his alone, he gets his sister-in-law to teach him everyway possible to please a woman. After he approaches Akane, and they begin to make love, the gradual distance between the two begins to close and affects everyone around them... 
animeRelated	[]
animeCharacters	['Miyamoto, Shizuku', 'Mihara, Akane', 'Fujimi, Shinya', 'Fujimi, Sayumi', 'Fujimi, Shogo']
animeVoices	['Inokuchi, Yuka', 'Ishimatsu, Chiemi', 'Tai, Yuuki', 'Hitomi']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Selen', 'Original Creator']]
