animeTitle	b'Shakugan no Shana III (Final)'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.53
animeUsers	105153
animeRank	
animePopularity	
animeDescription	"b""Yuji disappeared the fateful night he was supposed to choose between a life combating evil by Shana's side or as a normal teenager. He returns from near-death to lead the Crimson Denizens in a dubious plot to bring peace to the universe, but Shana isn't fooled. In an explosive reunion, the fiery warrior faces her unlikeliest of foes while Flame Hazes from across the world join forces to ignite a war that will determine the fate of all supernatural kind.\n\n(Source: FUNimation)"""
animeRelated	[b'Shakugan no Shana', b'Shakugan no Shana S', b'Shakugan no Shana-tan III (Final): Final Destruction']
animeCharacters	"[b'Shana', b'Sakai, Yuuji', b'Sairei no Hebi', b'Carmel, Wilhelmina', b'Hecate', b'Daw, Margery', b'Sabrac', b""Nbh'w, Khamsin"", b'Yoshida, Kazumi', b'Alastor']"
animeVoices	[b'\nKugimiya, Rie\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n', b'\nKuroda, Takaya\nJapanese\n', b'\nMinagawa, Junko\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nEbara, Masashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawase, Kouhei\n\nProducer\n\n', b'\nMatsuura, Hiroaki\n\nProducer\n\n', b'\nWatanabe, Takashi\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n']
