animeTitle	b'Days: Touin Gakuen-sen!'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.46
animeUsers	5287
animeRank	
animePopularity	
animeDescription	b'Sequel to DAYS.\n\nThe final match against Touyin Gakuin for National High School Soccer Tournament Tokyo Preliminary.\n\n(Source: MAL News)'
animeRelated	[b'Days', b'Days (TV)']
animeCharacters	[b'Tsukamoto, Tsukushi', b'Kazama, Jin', b'Ooshiba, Kiichi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYasuda, Tsuyoshi\n\nOriginal Creator\n\n']
