animeTitle	Captain Tsubasa: Europe Daikessen
animeType	Movie
animeNumEpisode	1
releaseDate	1985-07-13 00:00:00
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	2666
animeRank	
animePopularity	6826
animeDescription	"The first Captain Tsubasa movie is about a match between an ""All Europe Boy Soccer Team"" and an ""All Japan Boy Soccer Team"" and takes place at the end of the first TV series. When the Japanese team arrives in Europe they meet incredible players with skills and strength they never had to face before.

(Source: ANN)"
animeRelated	['Captain Tsubasa']
animeCharacters	['Oozora, Tsubasa', 'Wakabayashi, Genzou', 'Hyuuga, Kojirou', 'Misaki, Tarou', 'Schneider, Karl-Heinz', 'Nakazawa, Sanae', 'Wakashimazu, Ken', 'Tachibana, Kazuo', 'Tachibana, Masao', 'Oozora, Natsuko']
animeVoices	['Hibino, Akari', 'Hashimoto, Kouichi', 'Suzuoki, Hirotaka', 'Yamada, Eiko', 'Nanba, Keiichi', 'Sakamoto, Chika', 'Tobita, Nobuo', 'Suzuki, Reiko', 'Narahashi, Miki', 'Inose, Akiko']
animeStaff	[['Takahashi, Yoichi', 'Original Creator'], ['Okayasu, Hajime', 'Editing'], ['Okaseko, Nobuhiro', 'Animation Director'], ['Onodera, Keiko', 'Editing']]
