animeTitle	b'Kageki Shoujo!!'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.85
animeUsers	13416
animeRank	
animePopularity	
animeDescription	"b'After being forced to graduate from JPX48 following a controversial incident with a male fan, Ai Narata swears to never interact with another man ever again. Using her talents and strong desire to get away from men, Ai auditions for the exclusive all-female Kouka School of Musical and Theatrical Arts. The school is renowned for producing the best actresses that go on to perform in the famous all-female Kouka Theatre Troupe. Coming from the idol industry, Ai is the perfect candidate for the school\'s hundredth generation class, but her aloof demeanor alienates her from her classmates.\n\nThe eccentric Sarasa Watanabe is the only person who wishes to become Ai\'s friend. She enters Kouka with the goal of becoming a top ""otokoyaku"" performer\xe2\x80\x94an actress that plays traditionally male roles. After seeing a Kouka performance of The Rose of Versailles when she was younger, Sarasa dreams of performing as Lady Oscar one day. Unfortunately, Sarasa\'s inability to read a room causes friction between her and her classmates, including Ai, who reluctantly becomes her roommate and partner in many of their classes. \n\nSucceeding at Kouka will involve more than just raw talent for these young girls as jealousy, deceit, and the harsh realities of show business put their mental fortitude to the test. Will Sarasa and Ai be able to rise to the top and stand on the silver bridge?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kageki Shoujo!']
animeCharacters	[b'Watanabe, Sarasa', b'Narata, Ai', b'Hoshino, Kaoru', b'Yamada, Ayako', b'Sugimoto, Sawa', b'Andou, Mamoru', b'Narata, Taichi', b'Nojima, Hijiri', b'Shirakawa, Akiya', b'Shirakawa, Kouzaburou']
animeVoices	[b'\nSenbongi, Sayaka\nJapanese\n', b'\nHanamori, Yumiri\nJapanese\n', b'\nTaichi, You\nJapanese\n', b'\nSasaki, Rico\nJapanese\n', b'\nUesaka, Sumire\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nTakanashi, Kengo\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoneda, Kazuhiro\n\nDirector\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nHanamori, Yumiri\n\nTheme Song Performance\n\n', b'\nSenbongi, Sayaka\n\nTheme Song Performance\n\n']
