animeTitle	Mobile Suit Gundam SEED Destiny Special Edition
animeType	Special
animeNumEpisode	4
releaseDate	2006-05-02 00:00:00
endDate	
animeNumMembers	
animeScore	7.26
animeUsers	4502
animeRank	
animePopularity	5177
animeDescription	"Four TV movies compiled from Kidou Senshi Gundam SEED Destiny series.

1. The Broken World (Kudakareta Sekai)
2. Respective Swords (Sorezore no Ken)
3. The Hell Fire of Destiny (Sadame no Goka)
4. The Cost of Freedom (Jiyuu no Daishou)

Like the three specials of Gundam Seed, these specials feature new or changed scenes of the TV series. However unlike the TV series, which was told in the points of view of main characters Shinn Asuka and Kira Yamato, the Special Edition was told through the eyes of Athrun Zala, giving the movies a much more neutral point of view.

(Source: Wikipedia)"
animeRelated	['Mobile Suit Gundam SEED Destiny']
animeCharacters	['Yamato, Kira', 'Clyne, Lacus', 'Zala, Athrun', 'Athha, Cagalli Yula', 'Asuka, Shinn', 'Hawke, Lunamaria', 'Za Burrel, Rey', 'La Flaga, Mu', 'Haro', 'Loussier, Stella']
animeVoices	['Hoshi, Souichirou', 'Tanaka, Rie', 'Ishida, Akira', 'Shindo, Naomi', 'Suzumura, Kenichi', 'Sakamoto, Maaya', 'Seki, Toshihiko', 'Koyasu, Takehito', 'Kuwashima, Houko']
animeStaff	[['Yatate, Hajime', 'Producer'], ['Fukuda, Mitsuo', 'Director, Episode Director, Storyboard'], ['Urakami, Yasuo', 'Sound Director'], ['Fujino, Sadayoshi', 'Sound Director']]
