animeTitle	Install Pilot
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	222
animeRank	
animePopularity	12054
animeDescription	"Kamiyashiro Chikage was raised as a fighter of Shumisen, a secret society to seal mononke demons using special spirits called ""In."" When he was small, his father was killed by traitors to Shumisen and the trauma had made him withdraw into himself. Some years later, he gains the skill of ""In"" and is assigned an undercover mission to execute the traitors in the society."
animeRelated	[]
animeCharacters	['Chikage, Kamiyashiro']
animeVoices	['Sena, Yoshinobu']
animeStaff	[['Yamada, Kazuhiro', 'Director of Photography'], ['Nakanishi, Yasuhiro', 'Director of Photography']]
