animeTitle	Pucca
animeType	TV
animeNumEpisode	26
releaseDate	2006-09-08 00:00:00
endDate	2007-05-11 00:00:00
animeNumMembers	13590
animeScore	6.61
animeUsers	7186
animeRank	5541
animePopularity	4689
animeDescription	"Pucca is the young daughter of a Chinese noodle house owner and she is hopelessly in love with the ninja Garu. He tries desperately to avoid Pucca's advances and usually does not return her affection. This results in many comical situations as Pucca goes to great lengths just to steal a kiss from Garu. Expect to see lots of ""funny love"" antics involving everything from noodles to deadly ninjas.

(Source: TV.com)"
animeRelated	['Pucca (ONA)', 'Pucca 2']
animeCharacters	['Pucca', 'Garu', 'Abyo', 'Ching', 'Mio', 'Claus, Santa', 'Tobe']
animeVoices	['Ootani, Ikue', 'Kumai, Motoko', 'Ishino, Ryuuzou', 'Kobayashi, Kei', 'Masutani, Yasunori', 'Mugihito']
animeStaff	[['Plus-Tech Squeeze Box', 'Theme Song Performance'], ['Demory, Bernard', 'ADR Director']]
