animeTitle	Tetsuwan Atom (1980)
animeType	TV
animeNumEpisode	52
releaseDate	1980-10-01 00:00:00
endDate	1981-12-23 00:00:00
animeNumMembers	
animeScore	7.12
animeUsers	4512
animeRank	
animePopularity	5043
animeDescription	"Set in a future where machines have advanced to the point of autonomy and become a point of major contention in the political and social realms, Astro Boy (1980) chronicles the struggles of a crime-fighting young robot named Atom. Created in the image of his enigmatic inventor's deceased son, Atom survives rough beginnings, getting saved and adopted by the benevolent Dr. Ochanomizu. In his pursuit of justice, Atom finds himself in the midst of numerous clashes with various factions, and is often faced with the harsh realities of the world.

[Written by MAL Rewrite]"
animeRelated	['Tetsuwan Atom', 'Astro Boy: Tetsuwan Atom', 'Tetsuwan Atom: Atom Tanjou no Himitsu', 'Tetsuwan Atom: Ao Kishi no Kan', 'Go! Go! Atom', 'Robot Atom', 'Atom: The Beginning']
animeCharacters	['Atom', 'Atlas', 'Dr. Ochanomizu', 'Hazama, Kuroo', 'Holmes, Rock', 'Tenma, Umatarou', 'Sapphire', 'Pluto', 'Uran', 'Hige Oyaji']
animeVoices	['Shimizu, Mari', 'Mori, Katsuji', 'Katsuta, Hisashi', 'Ooki, Tamio', 'Sugaya, Masako', 'Kumakura, Kazuo']
animeStaff	[['Yamamoto, Satoshi', 'Producer'], ['Yamakawa, Norio', 'Producer'], ['Ishiguro, Noboru', 'Director'], ['Hashimoto, Naoto', 'Episode Director']]
