animeTitle	SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi
animeType	OVA
animeNumEpisode	1
releaseDate	2013-02-04 00:00:00
endDate	
animeNumMembers	
animeScore	7.94
animeUsers	10265
animeRank	
animePopularity	4000
animeDescription	"An OVA of SKET Dance bundled with the 29th volume of the manga, covering chapters 198, 199, and 200.

This is a conclusion of some of the events shown in the last episode of the anime series."
animeRelated	['SKET Dance']
animeCharacters	['Fujisaki, Yuusuke', 'Usui, Kazuyoshi', 'Onizuka, Hime', 'Tsubaki, Sasuke', 'Agata, Soujirou', 'Agata, Saaya', 'Asahina, Kikuno', 'Katou, Kiri', 'Shinba, Michiru', 'Unyuu, Mimori']
animeVoices	['Yoshino, Hiroyuki', 'Sugita, Tomokazu', 'Shiraishi, Ryouko', 'Shimono, Hiro', 'Seki, Tomokazu', 'Hanazawa, Kana', 'Kobayashi, Yuu', 'Oosaka, Ryouta', 'Nojima, Kenji', 'Takamoto, Megumi']
animeStaff	[['Kawaguchi, Keiichirou', 'Director'], ['The Sketchbook', 'Theme Song Performance'], ['Shinohara, Kenta', 'Original Creator, Original Character Design'], ['Imaizumi, Yuuichi', 'Sound Manager']]
