animeTitle	Kagaku Ninja-tai Gatchaman (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1978-07-15 00:00:00
endDate	
animeNumMembers	1480
animeScore	6.1
animeUsers	442
animeRank	8161
animePopularity	10199
animeDescription	This is the condensed theatrical adaptation of the original TV series' first season. 
animeRelated	['Kagaku Ninja-tai Gatchaman']
animeCharacters	['Washio, Ken', 'Asakura, Joe', 'Jun', 'Nakanishi, Ryu', 'Jinpei', 'Katse, Berg', 'Kozaburou, Nambu', 'Washio, Kentaro']
animeVoices	['Mori, Katsuji', 'Sasaki, Isao', 'Sugiyama, Kazuko', 'Kanemoto, Shingo', 'Shioya, Yoku', 'Terashima, Mikio']
animeStaff	[['Toriumi, Hisayuki', 'Director'], ['Ookawara, Kunio', 'Character Design'], ['Sugiyama, Koichi', 'Music'], ['Yoshida, Tatsuo', 'Original Creator']]
