animeTitle	Oshiete Hokusai! The Animation
animeType	ONA
animeNumEpisode	10
releaseDate	2021-03-07 00:00:00
endDate	2021-03-14 00:00:00
animeNumMembers	255
animeScore	
animeUsers	
animeRank	12621
animePopularity	15368
animeDescription	"Tenkorin Okakura is a high school slacker girl. While dreaming of a painter god, she makes a wish that her dreams can come true without practice or effort. The god Raijin hears her wish, summons real-life historical artists, and tells Tenkorin to have these artists teach her so that she can fulfill her dreams. Guided by their teachings, Tenkorin aims to become a real painter with a promising future.

(Source: ANN)"
animeRelated	['Oshiete Hokusai!']
animeCharacters	['Okakura, Tenkorin', 'Kuroda, Seiki', 'Utagawa, Kuniyoshi', 'Kishida, Ryuusei', 'Uemrua, Shouen', 'Hakuin, Ekaku', 'Kanou, Eitoku', 'Kano, Kanon', 'Ogata, Kourin', 'Takahashi, Yuichi']
animeVoices	['Waki, Azumi', 'Murase, Ayumu', 'Hayashi, Yuu', 'Ono, Daisuke', 'Shiraishi, Ryouko', 'Suwabe, Junichi', 'Hirakawa, Daisuke', 'Wakai, Yuuki', 'KENN', 'Takahashi, Hidenori']
animeStaff	[['Iwakiri, Naoto', 'Director, Original Creator'], ['Yamada, Haru', 'Sound Director'], ['Konishi, Katsuyuki', 'Theme Song Performance'], ['Waki, Azumi', 'Theme Song Performance']]
