animeTitle	Kagee Mukashibanashi
animeType	TV
animeNumEpisode	65
releaseDate	1976-01-01 00:00:00
endDate	1979-01-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14592
animeDescription	The 1st arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Japanese fairy tale told with shadow puppet animation. 
animeRelated	['Kagee Grimm Douwa', 'Kagee Aesop Monogatari']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
