animeTitle	To Heart 2 Adnext
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	1489
animeRank	
animePopularity	7395
animeDescription	The first and the second volume will feature Komaki Manaka and Kusakabe Yuuki, respectively.
animeRelated	['To Heart 2: Another Days', 'To Heart 2 AD Plus', 'To Heart 2: Dungeon Travelers']
animeCharacters	['Komaki, Manaka', 'Kusakabe, Yuuki', 'Kouno, Takaaki', 'Kousaka, Tamaki', 'Kusugawa, Sasara', 'Misora, Lucy Maria', 'Yuzuhara, Konomi', 'Tonami, Yuma', 'HMX-17c Silfa', 'Himeyuri, Sango']
animeVoices	['Rikimaru, Noriko', 'Satou, Rina', 'Fukuyama, Jun', 'Itou, Shizuka', 'Ono, Ryouko', 'Natsuki, Rio', 'Hase, Yurina', 'Nabatame, Hitomi', 'Sakurai, Harumi', 'Ishizuka, Sayori']
animeStaff	[['Uehara, Rena', 'Theme Song Performance'], ['Aquaplus', 'Original Creator'], ['Mitsumi, Misato', 'Original Character Design'], ['Shimokawa, Naoya', 'Planning, Music']]
