animeTitle	Pigeon Blood
animeType	OVA
animeNumEpisode	2
releaseDate	2003-11-28 00:00:00
endDate	2004-03-26 00:00:00
animeNumMembers	4253
animeScore	5.39
animeUsers	1596
animeRank	
animePopularity	7475
animeDescription	"Pigeon Blood tells the story of a guy who lost his memory and for some reason is the ""master"" of a mansion full of sex slaves. Some other day, the main guy is intercepted by a cute girl who surprisingly asks him to let her be his slave, and she'll do whatever for him. Based on a game by Abogado Powers.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Rita', 'Maria, Elza']
animeVoices	['Motoi, Emi']
animeStaff	[['Sano, Hiroaki', 'Music']]
