animeTitle	Sore Ike! Anpanman: Minna Atsumare! Anpanman World
animeType	Movie
animeNumEpisode	1
releaseDate	1994-07-16 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15042
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Currypanman', 'Cheese', 'Dokin-chan', 'Melonpanna', 'Oji-san, Jam', 'Batako-san', 'Horrorman', 'Shokupanman']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Kanai, Mika', 'Masuoka, Hiroshi', 'Sakuma, Rei', 'Kimotsuki, Kaneta', 'Shimamoto, Sumi']
animeStaff	[['Dreaming', 'Theme Song Performance'], ['Maeda, Minoru', 'Character Design'], ['Yanase, Takashi', 'Original Creator'], ['Oomichi, Hiromasa', 'Animation Director']]
