animeTitle	b'Shiba Inuko-san'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	2946
animeRank	
animePopularity	
animeDescription	"b""Chako Ishibashi is a normal middle schooler at a normal school having normal school days. However, there is one oddity in Chako's everyday life\xe2\x80\x94the student sitting at the desk next to her, Shibainuko-san. What is it about her that Chako finds strange? The answer is simple: Shibainuko-san doesn't look like a human at all. Instead, she looks just like a Shiba Inu!\n\nPolite, well-meaning, and with the mannerisms of both a dog and a human, Shibainuko-san is loved by all. However, Chako notices that her classmates seem oblivious to Shibainuko-san's physical appearance. Can a dog go to school and be a normal student? \n\nJoin Chako and her best friend Naho on bite-sized misadventures with their unusual classmate, who may or may not actually be a dog.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Shibainuko-san']
animeCharacters	[b'Shibainuko-san', b'Ishibashi, Chako', b'Kouhai', b'Sensei', b'Girl', b'Senpai', b'Ishibashi, Yuuto', b'Hosaka', b'Naho']
animeVoices	[b'\nSasaki, Mikoi\nJapanese\n', b'\nSuzuki, Misaki\nJapanese\n', b'\nTerakawa, Aimi\nJapanese\n', b'\nTakahashi, Asuka\nJapanese\n', b'\nKusunoki, Hiroko\nJapanese\n', b'\nMorita, Natsumi\nJapanese\n', b'\nSaito, Fuko\nJapanese\n', b'\nMarutsuka, Kana\nJapanese\n', b'\nMorishima, Shuuta\nJapanese\n', b'\nSugimoto, Mikuru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOomuro, Masakatsu\n\nSound Director\n\n', b'\nSasaki, Mikoi\n\nTheme Song Performance\n\n', b'\nUzu\n\nOriginal Creator\n\n']
