animeTitle	Brilliant Better
animeType	Music
animeNumEpisode	1
releaseDate	2016-09-21 00:00:00
endDate	
animeNumMembers	1128
animeScore	5.48
animeUsers	608
animeRank	10423
animePopularity	10864
animeDescription	Official music video for the song Brilliant Better by the fictional band Irodorimidori. It is the 2nd song in the franchise and focuses on Aliciana Ogata.
animeRelated	['Change Our Mirai!', 'Fortissimo Bell']
animeCharacters	['Ogata, Aliciana']
animeVoices	[]
animeStaff	[['Yarita', 'Director']]
