animeTitle	Uma Musume: Pretty Derby
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	2464
animeRank	
animePopularity	5874
animeDescription	"A promotional video by Cygames for their newest game project. The concept of the game seems to involve a mash-up of an idol-raising simulator with a horse-racing mechanic, except the idols and horses in question are moe, anthropomorphic horse girls.

(Source: Crunchyroll)"
animeRelated	['Uma Musume: Pretty Derby (TV)']
animeCharacters	['Special Week', 'Silence Suzuka', 'Toukai Teiou', 'Symboli Rudolf', 'Fujikiseki']
animeVoices	[]
animeStaff	[['Cygames', 'Creator']]
