animeTitle	Hataraku Onii-san!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	2605
animeRank	
animePopularity	6105
animeDescription	"The energetic Tapio Chatarozawa and the cool-headed Kuehiko Roshihara are two young cats trying out various part-time jobs. From delivering packages to washing windows on skyscrapers, the pair explore the opportunities that await them out on the recruiting field. As they struggle to learn the ropes, the duo endures the antics of their colorful customers and supervisors while bonding as working buddies. 

[Written by MAL Rewrite]"
animeRelated	['Itsuka Hataraku Oniisan!', 'Hataraku Onii-san! no 2!']
animeCharacters	"['Roshihara, Kuehiko', 'Chatarozawa, Tapio', 'That Animal That Shall Not be Named', 'Robanami', 'Pekko', 'Kanihei', 'Sarushima', ""Kuehiko's Mother"", 'Tonakai', 'Matsuzaka']"
animeVoices	['Mizoguchi, Takuya', 'Tomita, Kentarou', 'Sugita, Tomokazu', 'Ishihara, Souma', 'Inoue, Honoka', 'Masaki, Kaoru', 'Matsuoka, Yoshitsugu', 'Inoue, Kikuko', 'Hoshi, Souichirou', 'Yasumoto, Hiroki']
animeStaff	[['Takashima, Tomoya', 'Director'], ['Usa, Yoshiki', 'Script, Series Composition, Chief Producer, Original Creator'], ['Masaki, Kaoru', 'Theme Song Performance'], ['Ishihara, Souma', 'Theme Song Performance']]
