animeTitle	Andersen Douwa: Ningyohime
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.93
animeUsers	2173
animeRank	
animePopularity	7180
animeDescription	"Marina, the most beautiful mermaid in the royal Merman family, is curious about the human world. One day, she sees a handsome prince on a boat. Suddenly, a storm comes up, throwing him into the sea. Marina saves her handsome prince and guides him to the shore. Marina falls deeply in love and desperately wants to become a human. Despite the hazards, she is willing to risk it all for love.

(Source: ANN) "
animeRelated	[]
animeCharacters	['Marina', 'Fritz', 'Fjord', 'Queen Mother of the Seas', 'King of the Seas', 'Princess of Suomi', 'Witch']
animeVoices	['Kashiyama, Fumie', 'Miyagi, Mariko', 'Shigaki, Taro', 'Asou, Miyoko', 'Shibata, Hidekatsu', 'Yoshida, Rihoko', 'Kitahama, Haruko']
animeStaff	[['Katsumata, Tomoharu', 'Director'], ['Oosugi, Kumiko', 'Theme Song Performance'], ['Araki, Shingo', 'Key Animation, Character Design'], ['Andersen, Hans Christian', 'Original Creator']]
