animeTitle	Ooyasan wa Shishunki!
animeType	TV
animeNumEpisode	12
releaseDate	2016-01-10 00:00:00
endDate	2016-03-27 00:00:00
animeNumMembers	45477
animeScore	6.55
animeUsers	22472
animeRank	5844
animePopularity	2636
animeDescription	"Maeda has just moved into his new apartment to live by himself. While unpacking, a cute middle school student named Chie Satonaka suddenly appears in his room. She introduces herself as his new landlord, which pleasantly surprises him as he has never seen a landlord so young. His excitement is boosted further when the gorgeous Reiko Shirai, who lives directly next to him, also introduces herself as his new neighbor.

Ooyasan wa Shishunki! follows the everyday lives of Maeda and his newfound acquaintances, where each day presents itself as an opportunity for new events to unfold and new bonds to be forged.

[Written by MAL Rewrite]"
animeRelated	['Ooyasan wa Shishunki!', 'Komori-san wa Kotowarenai!']
animeCharacters	['Satonaka, Chie', 'Shirai, Reiko', 'Maeda', 'Komori, Shuri', 'Negishi, Masako', 'Ootani, Kurou', 'Nishitori, Megumi', 'Kanemoto, Sakura', 'Mori, Asuka', 'Ueno, Mayu']
animeVoices	['Kubo, Yurika', 'Nabatame, Hitomi', 'Kondou, Takashi', 'Wada, Kyouko', 'Nakashima, Yuki', 'Kido, Ibuki']
animeStaff	[['Ogawa, Yuuki', 'Director'], ['Yoshihara, Tatsuya', 'Episode Director, Storyboard, Key Animation'], ['every♥ing!', 'Theme Song Performance'], ['Minase, Ruruu', 'Original Creator']]
