animeTitle	The☆Ultraman
animeType	TV
animeNumEpisode	50
releaseDate	1979-04-04 00:00:00
endDate	1980-03-26 00:00:00
animeNumMembers	2487
animeScore	6.41
animeUsers	571
animeRank	6613
animePopularity	8864
animeDescription	The first animated Ultraman series.
animeRelated	['Ultraman USA', 'Ultraman: Chou Toushi Gekiden - Suisei Senjin Tsuifon Toujou', 'Ultraman M78 Gekijou: Love and Peace', 'Nihon Animator Mihonichi', 'Ultraman']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
