animeTitle	Cheer Danshi!! Recap
animeType	Special
animeNumEpisode	1
releaseDate	2016-08-09 00:00:00
endDate	
animeNumMembers	4361
animeScore	5.89
animeUsers	1984
animeRank	9061
animePopularity	7414
animeDescription	Recap of first 5 episodes of Cheer Danshi!!
animeRelated	['Cheer Danshi!!']
animeCharacters	['Bandou, Haruki', 'Hashimoto, Kazuma', 'Mizoguchi, Wataru', 'Toono, Kouji']
animeVoices	[]
animeStaff	[['Sugita, Tomokazu', 'Theme Song Performance'], ['Okamoto, Nobuhiko', 'Theme Song Performance'], ['Konishi, Katsuyuki', 'Theme Song Performance'], ['Ono, Yuuki', 'Theme Song Performance']]
