animeTitle	Yume Oukoku to Nemureru 100-nin no Ouji-sama
animeType	TV
animeNumEpisode	12
releaseDate	2018-07-05 00:00:00
endDate	2018-09-20 00:00:00
animeNumMembers	
animeScore	5.91
animeUsers	3617
animeRank	
animePopularity	4393
animeDescription	"The heroine is a normal girl, until one day she is invited to another world and becomes the princess of the dream world, where people use dreams as the energy to live. One day, the dream world is being attacked by something called ""yumekui"" (""dream eater""), and many princes are being attacked by it. The heroine must wake them up to save the dream world, as the princes are unable to wake up due to having their dreams stolen.

(Source: MAL News)"
animeRelated	['Yume Oukoku to Nemureru 100-nin no Ouji-sama: Short Stories']
animeCharacters	['Kihel', 'Shujinkou', 'Navi', 'Avi', 'Graysia', 'Cheshire Cat', 'Frost', 'Gary', 'Hearts', 'Chrono']
animeVoices	['Miyazaki, Yuu', 'Kimura, Haruka', 'Yamashita, Daiki', 'Suzumura, Kenichi', 'Hosoya, Yoshimasa', 'Shingaki, Tarusuke', 'Hino, Satoshi', 'Kaji, Yuki', 'Matsuoka, Yoshitsugu']
animeStaff	[['Hiiro, Yukina', 'Director'], ['Ikeda, Rintarou', 'Script'], ['Suzumura, Kenichi', 'Theme Song Performance'], ['moumoon', 'Theme Song Performance']]
