animeTitle	Rurouni Kenshin Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	7984
animeRank	
animePopularity	4237
animeDescription	A VHS only special episode. Also known as Episode 95.
animeRelated	['Rurouni Kenshin: Meiji Kenkaku Romantan']
animeCharacters	['Himura, Kenshin', 'Kamiya, Kaoru', 'Sagara, Sanosuke', 'Myoujin, Yahiko', 'Takani, Megumi', 'Sanjou, Tsubame', 'Oguni, Suzume', 'Oguni, Ayame', 'Sekihara, Tae']
animeVoices	['Suzukaze, Mayo', 'Fujitani, Miki', 'Ueda, Yuuji', 'Tominaga, Miina', 'Doi, Mika', 'Shiratori, Yuri', 'Namiki, Noriko', 'Yuasa, Kaori', 'Shimamoto, Sumi']
animeStaff	[['Watsuki, Nobuhiro', 'Original Creator']]
