animeTitle	Lupin III: Pilot Film (1978)
animeType	OVA
animeNumEpisode	1
releaseDate	1978-12-16 00:00:00
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	1774
animeRank	
animePopularity	7210
animeDescription	"A remastered version of the Pilot film, realised in 1978, re-photographed in cinemascope and re-dubbed for being screened in cinema before of 1st movie [Mamoo's 1st copy]. In 1989, it was included on the Lupin III - Secret File OVA.
"
animeRelated	['Lupin III', 'Lupin III: Lupin vs. Fukusei-ningen', 'Lupin III: Pilot Film']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Akechi, Kogoro', 'Narrator']
animeVoices	['Hirokawa, Taichirou', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Naya, Gorou', 'Chikaishi, Shinsuke', 'Tanaka, Nobuo']
animeStaff	[['Tatsuike, Noboru', 'Background Art']]
