animeTitle	Nazotoki-hime wa Meitantei♥
animeType	OVA
animeNumEpisode	6
releaseDate	2012-08-03 00:00:00
endDate	2013-12-27 00:00:00
animeNumMembers	500
animeScore	
animeUsers	
animeRank	12317
animePopularity	12974
animeDescription	"The story centers around Hinami, a bookish, eyeglasses-wearing girl, and her two friends. When there is a mystery to solve, she transforms into the clever Nazotoki-hime (literally, Princess Mystery Time). 

(Source: ANN) "
animeRelated	['Nazotokihime wa Meitantei♥']
animeCharacters	['Fujisaki, Rikka', 'Umezaki, Jin', 'Shion, Hinami']
animeVoices	['Ishikawa, Kaito', 'Matsuoka, Yoshitsugu', 'Kido, Ibuki']
animeStaff	[['Anan, Mayuki', 'Original Creator']]
