animeTitle	UFO Gakuen no Himitsu
animeType	Movie
animeNumEpisode	1
releaseDate	2015-10-10 00:00:00
endDate	
animeNumMembers	
animeScore	5.13
animeUsers	716
animeRank	
animePopularity	8649
animeDescription	"Ray, Anna, Tyler, Halle, and Eisuke are five high school students who are suddenly wrapped up in a mysterious incident.

An alien species called Grey abducts Halle's sister and embeds her with a special chip inside her brain. The five stand up to save Halle's sister and try to reveal the existence of aliens, but continue to be met with mysterious events.

The high school students' story progresses into a shocking development!

What truths hide on the dark side of the moon? What are the true intentions of the aliens that are infiltrating America, Russia, and China? What is the true crisis that is closing in on Earth and what hope can we have towards the future!?

(Source: HS Pictures Studio)"
animeRelated	['Uchuu no Hou: Reimei-hen']
animeCharacters	['Eisuke', 'Halle', 'Tyler', 'Anna', 'Ray', 'Yoake']
animeVoices	['Hatano, Wataru', 'Kanemoto, Hisako', 'Kakihara, Tetsuya', 'Seto, Asami', 'Oosaka, Ryouta', 'Namikawa, Daisuke']
animeStaff	[['Imakake, Isamu', 'Director, Chief Animation Director, Character Design'], ['Lee, Wendee', 'ADR Director'], ['Ookawa, Ryuuhou', 'Chief Producer, Original Creator']]
