animeTitle	Kirara
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	1617
animeRank	
animePopularity	7769
animeDescription	Twenty-four-year-old Kirara is on her way to her wedding when she is killed in a car accident. However her love for her fiance is so strong that she is permitted to return to earth as a ghost to see him. But she is sent back 8 years in time, to when she and her fiancé first met. However her own meddling in the past may make her 16 year-old-self turn away from her would-be fiance.
animeRelated	['Kirara']
animeCharacters	['Asai, Kirara', 'Asai, Chikahira', 'Imai, Kirara', 'Mita', 'Amy', 'Oshihara, Arthur', 'Asai, Mother', 'Asai, Father']
animeVoices	['Mitsuishi, Kotono', 'Itou, Kentarou', 'Oosawa, Chiaki', 'Kobayashi, Yumiko', 'Toyoshima, Machiko', 'Okiayu, Ryoutarou', 'Orikasa, Ai', 'Yara, Yuusaku']
animeStaff	[['Murayama, Kiyoshi', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Sokuza, Makoto', 'Episode Director'], ['Oosawa, Chiaki', 'Theme Song Performance']]
