animeTitle	Line Town
animeType	TV
animeNumEpisode	50
releaseDate	2013-04-03 00:00:00
endDate	2014-03-26 00:00:00
animeNumMembers	
animeScore	6.32
animeUsers	111
animeRank	
animePopularity	11983
animeDescription	Featuring characters from NHN's popular app such as Moon, Brown, Connie, James, Jessica, and Sally living  happily together in Line Town. 
animeRelated	['Line Offline: Salaryman', 'Line Rangers']
animeCharacters	['Moon', 'Jessica', 'Brown', 'James', 'Cony', 'Sally', 'Section Chief']
animeVoices	[]
animeStaff	[['Watanabe, Jun', 'Sound Director'], ['Nakagawa, Shoko', 'Theme Song Performance'], ['Wada, Toshiya', 'Sound Effects']]
