animeTitle	PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!
animeType	Movie
animeNumEpisode	1
releaseDate	2017-03-04 00:00:00
endDate	
animeNumMembers	
animeScore	6.87
animeUsers	402
animeRank	
animePopularity	10228
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['PriPara']
animeCharacters	['Manaka, Laala', 'Houjou, Sophie', 'Minami, Mirei', 'Kurosu, Aroma', 'Vocaldoll, Falulu', 'West, Leona', 'Toudou, Shion', 'Shiratama, Mikan', 'West, Dorothy', 'Shikyouin, Hibiki']
animeVoices	[]
animeStaff	[['Ookubo, Masao', 'Director, Episode Director, Storyboard'], ['Nagasaki, Yukio', 'Sound Director'], ['Fudeyasu, Kazuyuki', 'Script'], ['The World Standard', 'Theme Song Performance']]
