animeTitle	Dorei Maid Princess
animeType	OVA
animeNumEpisode	4
releaseDate	2007-05-26 00:00:00
endDate	2009-05-01 00:00:00
animeNumMembers	
animeScore	6.51
animeUsers	1734
animeRank	
animePopularity	6698
animeDescription	"Based on the game by Black-Lilith. 

The beloved princess Rotte is arrested by the enemy. To save her life, her childhood friend has to make her a slave within the next month."
animeRelated	[]
animeCharacters	['Birenkofen, Lotte', 'Aretoze, Eric', 'Keela', 'Aretoze, Gregor']
animeVoices	['Ishimatsu, Chiemi', 'Akimoto, Yousuke']
animeStaff	[['Araki, Hideki', 'Director, Episode Director, Character Design, Animation Director'], ['Lilith Soft', 'Original Creator']]
