animeTitle	Gambo
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	3533
animeRank	
animePopularity	5865
animeDescription	"Gambo is about a battle between a creature who's been killing members of a royal Japanese family, and a mysterious white bear who protects them.

(Source: Crunchyroll)"
animeRelated	['Hi no Youjin', 'Tsukumo', 'Buki yo Saraba', 'Short Peace Opening']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
