animeTitle	Nuresuke JK Ameyadori Rape
animeType	ONA
animeNumEpisode	2
releaseDate	2018-06-05 00:00:00
endDate	2018-06-22 00:00:00
animeNumMembers	3536
animeScore	6.59
animeUsers	1244
animeRank	
animePopularity	7982
animeDescription	"When a school girl takes shelter from the rain at a bus stop, a middle-aged man comes...
After some time of chatting the man, frustrated about the way his family is treating him, suddenly assaults and r*pes her over and over again. 

(Source: DLsite)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
