animeTitle	Elec-king The Animation
animeType	TV
animeNumEpisode	13
releaseDate	2007-11-10 00:00:00
endDate	2008-02-09 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15183
animeDescription	A surrealist comedy about a local neighborhood. The 4-koma it's based on is known for the number of characters added each week, which exceeded over 280 during its serialization. The anime focuses on the 16 most reoccurring of the bunch and each episode is composed of 3 skits/chapters.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
