animeTitle	Kokoro Connect: Michi Random
animeType	Special
animeNumEpisode	4
releaseDate	2012-11-19 00:00:00
endDate	2012-12-10 00:00:00
animeNumMembers	233114
animeScore	7.97
animeUsers	152789
animeRank	593
animePopularity	768
animeDescription	"Not long after putting the previous supernatural incident behind them, the members of Yamaboshi Academy's Student Cultural Society (StuCS) must deal with Fuusenkazura's newest trial—emotion transmission. This phenomenon allows the club members to hear each others' true thoughts, but with one catch: the timing, sender, and recipient are all completely random. To make matters worse, the club's supervisor, Ryuuzen Gotou, may have to step down due to his responsibilities for the upcoming school year. With emotions running high and Valentine's Day around the corner, the seemingly close bonds of the StuCS will be tested when their true feelings for each other are laid bare.

[Written by MAL Rewrite]"
animeRelated	['Kokoro Connect']
animeCharacters	['Inaba, Himeko', 'Nagase, Iori', 'Yaegashi, Taichi', 'Kiriyama, Yui', 'Aoki, Yoshifumi', 'Fuusenkazura', 'Yaegashi, Rina', 'Fujishima, Maiko', 'Gotou, Ryuuzen', 'Enjouji, Shino']
animeVoices	['Sawashiro, Miyuki', 'Toyosaki, Aki', 'Mizushima, Takahiro', 'Kanemoto, Hisako', 'Terashima, Takuma', 'Fujiwara, Keiji', 'Oogame, Asuka', 'Itou, Shizuka', 'Touyama, Nao']
animeStaff	[['Oonuma, Shin', 'Director'], ['Kawatsura, Shinya', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Kurokawa, Tomoyuki', 'Episode Director']]
