animeTitle	Angel
animeType	OVA
animeNumEpisode	1
releaseDate	1990-10-25 00:00:00
endDate	
animeNumMembers	
animeScore	5.43
animeUsers	687
animeRank	
animePopularity	9314
animeDescription	"When Shizuka comes back after 13 years, the courageous Kosuke that she hopes to find has grown into a perverted total coward. But then again, she had changed a lot too, growing into a true brawling queen.

(Source: JanKenPon Scanlations)"
animeRelated	['Angel', 'Angel: Kaette Kita Tenshi', 'Shin Angel']
animeCharacters	['Himenogi, Shizuka', 'Atami, Kosuke', 'Kikuchi, Kanji', 'Arihashi']
animeVoices	[]
animeStaff	[['U-jin', 'Original Creator'], ['Yamakawa, Susumu', 'Director of Photography']]
