animeTitle	Sakamoto Desu ga? Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	40100
animeRank	
animePopularity	1993
animeDescription	Unaired episode 13 included with the fifth Blu-ray and DVD volume.
animeRelated	['Sakamoto desu ga?', 'Sakamoto Desu ga?']
animeCharacters	['Sakamoto', 'Maeda, Atsushi', 'Kubota, Yoshinobu', 'Sera, Yuuya', 'Fujita, Megumi', 'Yagi', 'Kuronuma, Aina', 'Mario', 'Kobayashi, Shigeru', 'Kenken']
animeVoices	['Midorikawa, Hikaru', 'Sugita, Tomokazu', 'Ishida, Akira', 'Morikubo, Shoutarou', 'Nakahara, Mai', 'Nabatame, Hitomi', 'Horie, Yui', 'Takeuchi, Ken', 'Yabe, Masahito', 'Hiyama, Nobuyuki']
animeStaff	[]
