animeTitle	Who Am I?
animeType	Music
animeNumEpisode	1
releaseDate	2012-12-01 00:00:00
endDate	
animeNumMembers	155
animeScore	
animeUsers	
animeRank	14185
animePopularity	16911
animeDescription	MMD music video for the song who am I? by Yuyoyuppe, featuring Kagamine Rin.
animeRelated	[]
animeCharacters	['Kagamine, Rin']
animeVoices	[]
animeStaff	[['wakamuraP', 'Director, Editing'], ['Yuyoyuppe', 'Music']]
