animeTitle	Kannagi: Moshimo Kannagi ga Attara...
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	17268
animeRank	
animePopularity	3238
animeDescription	"Unaired episode included in DVD Vol.7.

In this episode they attempt to make a movie with some money they found lying on the ground."
animeRelated	['Kannagi']
animeCharacters	['Nagi', 'Zange', 'Aoba, Tsugumi', 'Mikuriya, Jin', 'Akiba, Meguru', 'Kimura, Takako', 'Hibiki, Daitetsu', 'Ookouchi, Shino']
animeVoices	['Tomatsu, Haruka', 'Hanazawa, Kana', 'Sawashiro, Miyuki', 'Shimono, Hiro', 'Kakihara, Tetsuya', 'Hayamizu, Risa', 'Hoshino, Takanori', 'Nakahara, Mai']
animeStaff	[['Yamamoto, Yutaka', 'Director'], ['Kikuta, Hiromi', 'Sound Director'], ['Tomatsu, Haruka', 'Theme Song Performance'], ['Tanaka, Masayoshi', 'Key Animation']]
