animeTitle	Demi-chan wa Kataritai: Demi-chan no Natsuyasumi
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.51
animeUsers	42172
animeRank	
animePopularity	1989
animeDescription	"During summer break, Tetsuo asks Sakie to join him on patrol duty for the local summer festival, which both the demis and Himari and her friends go to. As each group decides to check out a nearby shrine, they get spooked by some strange occurrences, which turn out to be each other. As the next term begins, Tetsuo converses with an invisible woman named Matsuri.

(Source: Crunchyroll)"
animeRelated	['Demi-chan wa Kataritai']
animeCharacters	['Takanashi, Hikari', 'Satou, Sakie', 'Takahashi, Tetsuo', 'Machi, Kyouko', 'Kusakabe, Yuki', 'Takanashi, Himari', 'Ugaki', 'Imori, Atsumi', 'Satake, Yusuke', 'Kimura, Shizuka']
animeVoices	['Hondo, Kaede', 'Hikasa, Youko', 'Suwabe, Junichi', 'Shinoda, Minami', 'Natsukawa, Shiina', 'Lynn', 'Tsuda, Kenjirou', 'Tanezaki, Atsumi', 'Kobayashi, Yuusuke', 'Ishigami, Shizuka']
animeStaff	[['Fukunaga, Gen', 'Executive Producer'], ['Petosu', 'Original Creator']]
