animeTitle	Anima Yell!
animeType	TV
animeNumEpisode	12
releaseDate	2018-10-07 00:00:00
endDate	2018-12-23 00:00:00
animeNumMembers	36907
animeScore	6.91
animeUsers	13313
animeRank	4148
animePopularity	2952
animeDescription	"Kohane Hatoya’s most lovable trait is also her greatest flaw. She loves to help others no matter how far she has to go in order to get the job done. Her biggest inspiration to do so comes to light when she sees what cheerleading looks like for the first time in middle school. Now a highschooler but as enthusiastic as ever, Kohane wants nothing more than to start her very own cheerleading squad. She's encouraged by her best friend, Uki Sawatari, who often has to help her get out of trouble.

There is just one problem: Kohane does not have any experience in cheerleading. She has absolutely no idea what to do, what to wear, or how to perform. To make matters worse, she has been scared of heights since childhood, and this new sport is full of stunts pulled far from the ground for a girl her size. Enter Hizume Arima, a former cheerleader who wishes to leave her pastime behind. Unfortunately for her, Kohane recognizes Hizume, and will stop at nothing just so she can lead the new squad, even if it means facing her childhood fear.

[Written by MAL Rewrite]
"
animeRelated	['Anima Yell!', 'Anima Yell! Ouen Douga']
animeCharacters	['Hatoya, Kohane', 'Tatejima, Kotetsu', 'Sawatari, Uki', 'Arima, Hizume', 'Ushiku, Kana', 'Inukai', 'Kateika-bu Buchou', 'Basket Senpai', 'Nekoya, Tamako', 'Nekoya, Suzuko']
animeVoices	['Ozaki, Yuka', 'Kusunoki, Tomori', 'Izawa, Mikako', 'Yamada, Yuina', 'Shiraishi, Haruka', 'Matsui, Eriko', 'Natsuno, Nao', 'Furukawa, Yurina', 'Matsuda, Satsumi', 'Matsuda, Risae']
animeStaff	[['Satou, Masako', 'Director'], ['Hiramitsu, Takuya', 'Sound Director'], ['Shimo, Fumihiko', 'Script, Series Composition'], ['Ookuma, Takaharu', 'Storyboard']]
