animeTitle	Dirty Pair OVA
animeType	OVA
animeNumEpisode	10
releaseDate	1987-12-21 00:00:00
endDate	1988-04-21 00:00:00
animeNumMembers	6108
animeScore	7.09
animeUsers	2250
animeRank	3398
animePopularity	6458
animeDescription	"Set in the future Kei and Yuri are Trouble Consultants for The 3WA. Code Named ""Lovely Angels"", but, they are known throughout the galaxy as The Dirty Pair. They always solve their case, but, not without causing collateral damage and mayhem.

(Source: ANN)"
animeRelated	['Dirty Pair: Bouryaku no 005-bin', 'Dirty Pair: The Movie', 'Dirty Pair: Lovely Angels yori Ai wo Komete']
animeCharacters	['Kei', 'Yuri', 'Mughi', 'Francis, Gooley Andrew', 'Mad Bull', 'Snake', 'Blast', 'President A', 'Jones, Bill', 'Doctor']
animeVoices	['Tonguu, Kyouko', 'Shimazu, Saeko', 'Makishima, Naoki', 'Sawaki, Ikuya', 'Shimaka, Yuu', 'Yamadera, Kouichi', 'Hori, Katsunosuke', 'Nakagi, Ryuuji', 'Ooki, Tamio', 'Ushiyama, Shigeru']
animeStaff	[['Yatabe, Katsuyoshi', 'Director'], ['Watanabe, Shinichiro', 'Episode Director'], ['Hoshiyama, Hiroyuki', 'Script'], ['Sonoda, Hideki', 'Script']]
