animeTitle	Kumo no Gakkou
animeType	Movie
animeNumEpisode	1
releaseDate	2005-05-22 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16700
animeDescription	Near the end of the 19th century, a young boy loses his father and has to move from a comfortable city to a poor village in Saitama. There, living with his mother, elder sister, and a dog, he learns valuable lessons about what's truly important in life.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
