animeTitle	Kodomo no Keijijougaku
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.63
animeUsers	541
animeRank	
animePopularity	11093
animeDescription	"A child whose head is numerals, a child who winds his own face and has it under his arm. What was left is his identity, a child whose eyes are provided by fishes, a child who lies down on the floor and head-butts his identity, a child who cannot say anything because of a zipper across his mouth. He undo the zipper but under it is another zipper...
Ecology and philosophy of  children with sadness and humour.

(Source: Yamamura Animation)
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
