animeTitle	b'Megami Kyouju'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.62
animeUsers	911
animeRank	
animePopularity	
animeDescription	"b""After a strange hostage-taking case, SWAT officer Linda and her friend Mary, who works at the CSI division, discover that the perpetrator has contracted a mutated rabies virus from the hostage's dog, which is now on the loose. Soon, the city is flooded with people turned to freaks by the decease, and to their horror, Linda and Mary's mutual friend Kata, a stripper at the local night club, appears to have been bitten by the stray dog, too... \n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Mary', b'Linda', b'Kata']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nNakagawa, Tatsuto\n\nSound Director\n\n', b'\nFukuda, Naomasa\n\nSpecial Effects\n\n', b'\nUshijima, Yuji\n\nCharacter Design\n\n', b'\nNakahara, Eitou\n\nArt Director\n\n']
