animeTitle	Dragon Rider
animeType	OVA
animeNumEpisode	2
releaseDate	1995-10-27 00:00:00
endDate	1996-01-26 00:00:00
animeNumMembers	1882
animeScore	5.59
animeUsers	665
animeRank	
animePopularity	9578
animeDescription	"The war between the Dragon Devil clan and the Dragon God clan caused much destruction and sorrow. In the end the Dragon Knights won and the three kings of the Dragon Devil clan were sealed away. However some of the other members of the Dragon Devil clan were able to escape…

Ten years have passed, and the world is at peace. A young man named Rike, who dreams of becoming a Dragon Knight, arrives at a small village where he meets the girl Karisu, who at first takes him for a thief. Shortly after his arrival the survivors of the Dragon Devil clan attacked the village and Rike discovered that there is more to Karisu than meets the eye. That was just the beginning of their troubles… "
animeRelated	[]
animeCharacters	['Karisu', 'Lydia', 'Arrow, Rike', 'Ramie']
animeVoices	['Ootani, Ikue', 'Okamura, Akemi']
animeStaff	[['Ooshiro, Tsutomu', 'Key Animation'], ['Isono, Satoshi', 'Character Design'], ['Tokiwa, Shouji', 'Art Director'], ['Ooishi, Tetsuya', 'Screenplay']]
