animeTitle	Yamakawa Keiko-san wa Furimukanai
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18298
animeDescription	Man often yearns of a past more innocent and pure. This film disregards that sentimentality and depicts a constant, permanent transformation of the landscape of mountains and rivers. A beautiful and intense image poem made from thousands of pencil drawings.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
