animeTitle	Quanzhi Gaoshou
animeType	ONA
animeNumEpisode	12
releaseDate	2017-04-07 00:00:00
endDate	2017-06-16 00:00:00
animeNumMembers	
animeScore	7.93
animeUsers	146291
animeRank	
animePopularity	546
animeDescription	"Widely regarded as a trailblazer and top-tier professional player in the online multiplayer game Glory, Ye Xiu is dubbed the ""Battle God"" for his skills and contributions to the game over the years. However, when forced to retire from the team and to leave his gaming career behind, he finds work at a nearby internet café. There, when Glory launches its tenth server, he throws himself into the game once more using a new character named ""Lord Grim.""

Ye Xiu's early achievements on the new server immediately catch the attention of many players, as well as the big guilds, leaving them to wonder about the identity of this exceptional player. However, while he possesses ten years of experience and in-depth knowledge, starting afresh with neither sponsors nor a team in a game that has changed over the years presents numerous challenges. Along with talented new comrades, Ye Xiu once again dedicates himself to traversing the path to Glory's summit!

[Written by MAL Rewrite]"
animeRelated	"['Quanzhi Gaoshou', ""Quanzhi Gaoshou The King's Avatar"", 'Quanzhi Gaoshou Specials', 'Quanzhi Gaoshou Zhi Dianfeng Rongyao']"
animeCharacters	['Ye, Xiu', 'Su, Mucheng', 'Tang, Rou', 'Chen, Guo', 'Huang, Shaotian', 'Bao, Rongxing', 'Qiao, Yifan', 'Wang, Jiexi', 'Xu, Boyuan', 'Yu, Wenzhou']
animeVoices	[]
animeStaff	[['Xiong, Ke', 'Director, Episode Director, Storyboard'], ['Liu, Lifei', 'Episode Director, Storyboard'], ['Liu, Xing', 'Script'], ['Liang, Sha', 'Script']]
