animeTitle	Kudan
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	153
animeRank	
animePopularity	14412
animeDescription	"As oppose to the mythological creature Minotaur, a monsters of western culture, a Japanese monster Kudan has a human head and the body of cow. Kudan is born from female cow. It speaks human language, predicts significant incidents such as war or disaster and dies in three days. This story is about a man who is accidentally transformed into a Kudan.

(Source: Official website)
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
