animeTitle	Xue Haizi
animeType	Movie
animeNumEpisode	1
releaseDate	1980-12-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	108
animeRank	
animePopularity	14727
animeDescription	During the Winter season, mother rabbit has to go out, but she is afraid of leaving her son home alone. Her rabbit son decides to make a friend out of the snow to keep him company.
animeRelated	['Hui Sheng: Xiao Tu Tao Tao De Gushi', 'Xiao Tu Tao Tao De Gushi: Bu Pa Leng De Da Yi', 'Bupiao']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
